EXPERIMENT, index_type, index_parameters, index_id, run, key_bits, build_size_log, probe_size_log, batch_count, total_inserts_percentage_of_build_size, total_deletes_percentage_of_build_size, alternating_insert_delete, insert_before_delete, step, do_insert, do_delete, current_batch_size, before_update_size, after_update_size, DESCRIPTION, VALUE
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, probe_time_ms, 66.84877014160156
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, sort_time_ms, 6.617087841033936
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, probe_miss_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, successor_hits_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, successor_misses_probe_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, index_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, bucket_layer_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, rebuild_time_ms, 0
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, before_update_bytes, 1231005568
batches, tree_awad_full, node_size=16&bulk_load=full, tree_awad_full__16_full, 0, 32, 25, 26, 5, 200, 200, 0, 1, 5, 1, 0, 13421772, 87241520, 100663292, after_update_bytes, 1397038848
